n,block_n,block_type,trial_type,with_equal,rt,acc,order,stimulus,answers,correct_answer
1,0,no_memory,reversed,True,4.717129600001499,0,"['D', 'I', 'Z']","[['Z', '\\', 'I'], ['D', '|', 'I']]","[['D', '|', 'Z'], ['I', '/', 'Z'], ['I', '|', 'D']]","['I', '|', 'D']"
2,0,no_memory,identical,True,4.6374364999937825,1,"['G', 'C', 'B']","[['B', '\\', 'C'], ['G', '|', 'C']]","[['G', '|', 'C'], ['B', '|', 'C'], ['G', '\\', 'B']]","['G', '|', 'C']"
